date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_AROONOSC,exit0_AROONOSC
2020-03-05,71.08551788330078,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-78.57142857142857],[None],[-78.57142857142857],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-78.57142857142857,-78.57142857142857
2020-03-06,70.14152526855469,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-71.42857142857143],[None],[-71.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-71.42857142857143,-71.42857142857143
2020-03-09,64.59387969970703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-64.28571428571429],[None],[-64.28571428571429],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-64.28571428571429,-64.28571428571429
2020-03-10,69.24603271484375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-42.85714285714286],[None],[-42.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-42.85714285714286,-42.85714285714286
2020-03-11,66.8410873413086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-42.857142857142854],[None],[-42.857142857142854],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-42.857142857142854,-42.857142857142854
2020-03-12,60.240211486816406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-42.85714285714286],[None],[-42.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-42.85714285714286,-42.85714285714286
2020-03-13,67.4574966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-100.0],[None],[-100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-100.0,-100.0
2020-03-16,58.77928161621094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-92.85714285714286],[None],[-92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-92.85714285714286,-92.85714285714286
2020-03-17,61.36381912231445,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-64.28571428571428],[None],[-64.28571428571428],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-64.28571428571428,-64.28571428571428
2020-03-18,59.86163330078125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-71.42857142857143],[None],[-71.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-71.42857142857143,-71.42857142857143
2020-03-19,59.40297317504883,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-78.57142857142857],[None],[-78.57142857142857],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-78.57142857142857,-78.57142857142857
2020-03-20,55.63174057006836,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-78.57142857142857],[None],[-78.57142857142857],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-78.57142857142857,-78.57142857142857
2020-03-23,54.449893951416016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-92.85714285714286],[None],[-92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-92.85714285714286,-92.85714285714286
2020-03-24,59.91260528564453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-100.0],[None],[-100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-100.0,-100.0
2020-03-25,59.582557678222656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-92.85714285714286],[None],[-92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-92.85714285714286,-92.85714285714286
2020-03-26,62.71796798706055,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-85.71428571428572],[None],[-85.71428571428572],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-85.71428571428572,-85.71428571428572
2020-03-27,60.121299743652344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-78.57142857142857],[None],[-78.57142857142857],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-78.57142857142857,-78.57142857142857
2020-03-30,61.8370361328125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-64.28571428571429],[None],[-64.28571428571429],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-64.28571428571429,-64.28571428571429
2020-03-31,61.710845947265625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-64.28571428571429],[None],[-64.28571428571429],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-64.28571428571429,-64.28571428571429
2020-04-01,58.46380615234375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-57.142857142857146],[None],[-57.142857142857146],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-57.142857142857146,-57.142857142857146
2020-04-02,59.439369201660156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-42.857142857142854],[None],[-42.857142857142854],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-42.857142857142854,-42.857142857142854
2020-04-03,58.58515167236328,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-42.85714285714286],[None],[-42.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],-42.85714285714286,-42.85714285714286
2020-04-06,63.695960998535156,0,[True],[False],BUY. Shares: 53,Entry conditions met: True,{},"{'order_size': 53, 'order_price': None, 'order_valid': None, 'order_status': 1}",[42.857142857142854],[None],[42.857142857142854],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],42.857142857142854,42.857142857142854
2020-04-07,62.958213806152344,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[71.42857142857143],[None],[71.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],71.42857142857143,71.42857142857143
2020-04-08,64.56962585449219,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[78.57142857142857],[None],[78.57142857142857],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],78.57142857142857,78.57142857142857
2020-04-09,65.0355453491211,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[78.57142857142857],[None],[78.57142857142857],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],78.57142857142857,78.57142857142857
2020-04-13,66.31205749511719,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[78.57142857142858],[None],[78.57142857142858],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],78.57142857142858,78.57142857142858
2020-04-14,69.6610107421875,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-04-15,69.02518463134766,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-04-16,69.57365417480469,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[50.0],[None],[50.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],50.0,50.0
2020-04-17,68.62963104248047,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[50.00000000000001],[None],[50.00000000000001],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],50.00000000000001,50.00000000000001
2020-04-20,67.20510864257812,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[50.0],[None],[50.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],50.0,50.0
2020-04-21,65.12776947021484,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[50.0],[None],[50.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],50.0,50.0
2020-04-22,67.00371551513672,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[50.00000000000001],[None],[50.00000000000001],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],50.00000000000001,50.00000000000001
2020-04-23,66.74402618408203,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[50.0],[None],[50.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],50.0,50.0
2020-04-24,68.67088317871094,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[50.0],[None],[50.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],50.0,50.0
2020-04-27,68.71939849853516,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[42.85714285714286],[None],[42.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],42.85714285714286,42.85714285714286
2020-04-28,67.60552215576172,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[35.714285714285715],[None],[35.714285714285715],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],35.714285714285715,35.714285714285715
2020-04-29,69.82601928710938,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[28.571428571428573],[None],[28.571428571428573],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],28.571428571428573,28.571428571428573
2020-04-30,71.29907989501953,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-05-01,70.15122985839844,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-05-04,71.14378356933594,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[57.14285714285714],[None],[57.14285714285714],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],57.14285714285714,57.14285714285714
2020-05-05,72.21157836914062,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[57.142857142857146],[None],[57.142857142857146],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],57.142857142857146,57.142857142857146
2020-05-06,72.95658874511719,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[71.42857142857143],[None],[71.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],71.42857142857143,71.42857142857143
2020-05-07,73.71131896972656,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[78.57142857142857],[None],[78.57142857142857],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],78.57142857142857,78.57142857142857
2020-05-08,75.46578979492188,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[85.71428571428571],[None],[85.71428571428571],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],85.71428571428571,85.71428571428571
2020-05-11,76.65325164794922,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[92.85714285714286],[None],[92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],92.85714285714286,92.85714285714286
2020-05-12,75.7772445678711,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-05-13,74.8623046875,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-05-14,75.32223510742188,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[92.85714285714286],[None],[92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],92.85714285714286,92.85714285714286
2020-05-15,74.87689971923828,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[85.71428571428572],[None],[85.71428571428572],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],85.71428571428572,85.71428571428572
2020-05-18,76.6410903930664,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[71.42857142857143],[None],[71.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],71.42857142857143,71.42857142857143
2020-05-19,76.19822692871094,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[71.42857142857143],[None],[71.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],71.42857142857143,71.42857142857143
2020-05-20,77.68014526367188,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[64.28571428571429],[None],[64.28571428571429],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],64.28571428571429,64.28571428571429
2020-05-21,77.10101318359375,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[50.0],[None],[50.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],50.0,50.0
2020-05-22,77.59740447998047,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-05-26,77.07179260253906,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[92.85714285714286],[None],[92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],92.85714285714286,92.85714285714286
2020-05-27,77.4075927734375,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-05-28,77.4416732788086,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[92.85714285714286],[None],[92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],92.85714285714286,92.85714285714286
2020-05-29,77.3662338256836,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[42.85714285714286],[None],[42.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],42.85714285714286,42.85714285714286
2020-06-01,78.31767272949219,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[42.857142857142854],[None],[42.857142857142854],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],42.857142857142854,42.857142857142854
2020-06-02,78.68026733398438,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[42.85714285714286],[None],[42.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],42.85714285714286,42.85714285714286
2020-06-03,79.11338806152344,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[42.85714285714286],[None],[42.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],42.85714285714286,42.85714285714286
2020-06-04,78.43204498291016,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[85.71428571428571],[None],[85.71428571428571],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],85.71428571428571,85.71428571428571
2020-06-05,80.66586303710938,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[85.71428571428572],[None],[85.71428571428572],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],85.71428571428572,85.71428571428572
2020-06-08,81.14280700683594,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-06-09,83.70513916015625,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-06-10,85.85867309570312,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-06-11,81.73654174804688,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[71.42857142857143],[None],[71.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],71.42857142857143,71.42857142857143
2020-06-12,82.44223022460938,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[71.42857142857143],[None],[71.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],71.42857142857143,71.42857142857143
2020-06-15,83.46177673339844,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[71.42857142857143],[None],[71.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],71.42857142857143,71.42857142857143
2020-06-16,85.67372131347656,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[71.42857142857143],[None],[71.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],71.42857142857143,71.42857142857143
2020-06-17,85.55448150634766,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[71.42857142857143],[None],[71.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],71.42857142857143,71.42857142857143
2020-06-18,85.58856964111328,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-06-19,85.09944152832031,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[92.85714285714286],[None],[92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],92.85714285714286,92.85714285714286
2020-06-22,87.32598114013672,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-06-23,89.18993377685547,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-06-24,87.61554718017578,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[92.85714285714286],[None],[92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],92.85714285714286,92.85714285714286
2020-06-25,88.7786865234375,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[92.85714285714286],[None],[92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],92.85714285714286,92.85714285714286
2020-06-26,86.05088806152344,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[85.71428571428572],[None],[85.71428571428572],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],85.71428571428572,85.71428571428572
2020-06-29,88.0340576171875,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[78.57142857142857],[None],[78.57142857142857],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],78.57142857142857,78.57142857142857
2020-06-30,88.76895904541016,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[71.42857142857143],[None],[71.42857142857143],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],71.42857142857143,71.42857142857143
2020-07-01,88.6010513305664,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[42.85714285714286],[None],[42.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],42.85714285714286,42.85714285714286
2020-07-02,88.6010513305664,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[42.85714285714286],[None],[42.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],42.85714285714286,42.85714285714286
2020-07-06,90.97114562988281,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[42.857142857142854],[None],[42.857142857142854],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],42.857142857142854,42.857142857142854
2020-07-07,90.68888092041016,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-07-08,92.801025390625,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-07-09,93.2000961303711,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[85.71428571428571],[None],[85.71428571428571],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],85.71428571428571,85.71428571428571
2020-07-10,93.36311340332031,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[92.85714285714286],[None],[92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],92.85714285714286,92.85714285714286
2020-07-13,92.93242645263672,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[92.85714285714286],[None],[92.85714285714286],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],92.85714285714286,92.85714285714286
2020-07-14,94.47029876708984,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.0],[None],[100.0],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],100.0,100.0
2020-07-15,95.1200180053711,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[64.28571428571429],[None],[64.28571428571429],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],64.28571428571429,64.28571428571429
2020-07-16,93.9495620727539,53,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[64.28571428571429],[None],[64.28571428571429],[None],['AROONOSC cross_above 0'],['AROONOSC cross_below 0'],64.28571428571429,64.28571428571429
